exp_id,episode,global_timestep,episode_steps,cost,duration
Medicine_pareto_test_20260511T201320,193,3016,8,140.0,110.0
Medicine_pareto_test_20260511T201320,194,3021,5,70.0,85.0
Medicine_pareto_test_20260511T201320,195,3033,12,205.0,235.0
Medicine_pareto_test_20260511T201320,196,3040,7,170.0,125.0
Medicine_pareto_test_20260511T201320,197,3048,8,115.0,165.0
Medicine_pareto_test_20260511T201320,198,3063,15,295.0,250.0
Medicine_pareto_test_20260511T201320,199,3076,13,190.0,185.0
Medicine_pareto_test_20260511T201320,200,3082,6,140.0,120.0
Medicine_pareto_test_20260511T201320,201,3108,26,450.0,490.0
Medicine_pareto_test_20260511T201320,202,3115,7,115.0,180.0
Medicine_pareto_test_20260511T201320,203,3125,10,185.0,155.0
Medicine_pareto_test_20260511T201320,204,3130,5,95.0,80.0
Medicine_pareto_test_20260511T201320,205,3140,10,150.0,180.0
Medicine_pareto_test_20260511T201320,206,3158,18,310.0,400.0
Medicine_pareto_test_20260511T201320,207,3172,14,200.0,220.0
Medicine_pareto_test_20260511T201320,208,3191,19,340.0,235.0
Medicine_pareto_test_20260511T201320,209,3217,26,395.0,515.0
Medicine_pareto_test_20260511T201320,210,3230,13,275.0,220.0
Medicine_pareto_test_20260511T201320,211,3252,22,300.0,300.0
Medicine_pareto_test_20260511T201320,212,3264,12,215.0,265.0
Medicine_pareto_test_20260511T201320,213,3277,13,250.0,275.0
Medicine_pareto_test_20260511T201320,214,3291,14,240.0,200.0
Medicine_pareto_test_20260511T201320,215,3298,7,130.0,215.0
Medicine_pareto_test_20260511T201320,216,3304,6,125.0,85.0
Medicine_pareto_test_20260511T201320,217,3309,5,95.0,80.0
Medicine_pareto_test_20260511T201320,218,3314,5,90.0,125.0
Medicine_pareto_test_20260511T201320,219,3327,13,245.0,270.0
Medicine_pareto_test_20260511T201320,220,3331,4,90.0,70.0
Medicine_pareto_test_20260511T201320,221,3341,10,180.0,180.0
Medicine_pareto_test_20260511T201320,222,3357,16,190.0,270.0
Medicine_pareto_test_20260511T201320,223,3386,29,490.0,415.0
Medicine_pareto_test_20260511T201320,224,3410,24,320.0,450.0
Medicine_pareto_test_20260511T201320,225,3421,11,175.0,180.0
Medicine_pareto_test_20260511T201320,226,3436,15,250.0,335.0
Medicine_pareto_test_20260511T201320,227,3446,10,145.0,245.0
Medicine_pareto_test_20260511T201320,228,3452,6,115.0,125.0
Medicine_pareto_test_20260511T201320,229,3463,11,240.0,205.0
Medicine_pareto_test_20260511T201320,230,3491,28,530.0,320.0
